STT,Miền,Vùng,Khu vực,Mã NPP,Tên NPP,Mã NV,Tên NV,Mã KH,Tên KH,Số nhà/Khu,Tên đường/Xã/Phường,TP (Tx)/Quận (Huyện),Mã đơn hàng,Trạng thái,Loại đơn,Mã sản phẩm,Tên sản phẩm,Ngày lấy đơn,Số lượng (Lẻ),Hàng bán (Thùng),Hàng bán (Hộp/bịch),Hàng KM (Thùng),Hàng KM (hộp/bịch),Đơn giá lẻ,Đơn giá thùng,Thành tiền,Chiết khấu (Lì xì),"Mã CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Tên CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Số lượng/Điểm trả thưởng 
 (Game/Voucher/Loyalty)","Mã chương trình 
 (Game/Voucher/Loyalty)"," Tên chương trình 
 (Game/Voucher/Loyalty)"
1,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FANC10,Fs.36h,17/06/2024 10:16:46,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
2,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FANC01,Fa.36h,17/06/2024 10:16:46,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
3,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FAGS02,Gn.36h,17/06/2024 10:16:46,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
4,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005110,Đã duyệt,Đơn bán,FANC01,Fa.36h,01/01/2024 11:56:22,36,1,0,,,4391,158073,158073,0,,,,,
5,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005110,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/01/2024 11:56:22,80,2,0,,,3682,147273,294546,0,,,,,
6,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FACA05,Cl.36h,29/01/2024 16:56:00,36,1,0,,,4555,163963,163963,19675,KM23756N151223,KM WM+ TỪ 01/01-31/03/2024,,,
7,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FACA02,Ca.40b,29/01/2024 16:56:00,40,1,0,,,3780,151200,151200,0,,,,,
8,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FANC04,Fl.36h,29/01/2024 16:56:00,36,1,0,,,4391,158073,158073,0,,,,,
9,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FANC04,Fl.36h,11/03/2024 08:03:31,72,2,0,,,4391,158073,316146,0,,,,,
10,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FACA14,Cs.36h,11/03/2024 08:03:31,36,1,0,,,4555,163963,163963,0,,,,,
11,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FANC04,Fl.36h,11/03/2024 08:03:31,12,,,0,12,4391,158073,0,,KM1360WWCM - N1,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FI.36H TẶNG 1 LỐC,,,
12,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FACA14,Cs.36h,11/03/2024 08:03:31,6,,,0,6,4555,163963,0,,KM1360WWCM - N3,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC CS.36H TẶNG 1 LỐC,,,
13,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FAGS01,Gl.36h,25/03/2024 08:08:19,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
14,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FAGS02,Gn.36h,25/03/2024 08:08:19,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
15,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FACA06,Cl.40b,25/03/2024 08:08:19,40,1,0,,,3780,151200,151200,21168,KM4564CKWCM,KM WCM+ TỪ 25/03-27/03/2024,,,
16,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FANC05,Fl.40b,25/03/2024 08:08:19,40,1,0,,,3682,147273,147273,20618,KM4564CKWCM,KM WCM+ TỪ 25/03-27/03/2024,,,
17,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FANC10,Fs.36h,01/04/2024 17:44:44,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
18,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/04/2024 17:44:44,40,1,0,,,3682,147273,147273,0,,,,,
19,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FACA01,Ca.36h,01/04/2024 17:44:44,36,1,0,,,4555,163963,163963,0,,,,,
20,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/04/2024 17:44:44,5,,,0,5,3682,147273,0,,KM4564WCM - N4,KM WCM TỪ 25/03-24/04/2024 - MUA 8 BỊCH FA.40B TẶNG 1 BỊCH,,,
21,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005569,Đã duyệt,Đơn bán,FANC09,Fc.36h,16/05/2024 16:02:08,36,1,0,,,4391,158073,158073,23711,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
22,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005569,Đã duyệt,Đơn bán,FACA02,Ca.40b,16/05/2024 16:02:08,40,1,0,,,3780,151200,151200,0,,,,,
23,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005569,Đã duyệt,Đơn bán,FACA05,Cl.36h,16/05/2024 16:02:08,36,1,0,,,4555,163963,163963,0,,,,,
24,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005703,Đã duyệt,Đơn bán,FANC10,Fs.36h,17/06/2024 20:46:22,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
25,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005703,Đã duyệt,Đơn bán,FAGS02,Gn.36h,17/06/2024 20:46:22,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
26,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005703,Đã duyệt,Đơn bán,FANC01,Fa.36h,17/06/2024 20:46:22,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
27,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005744,Đã duyệt,Đơn bán,FAGS02,Gn.36h,17/06/2024 10:23:27,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
28,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005744,Đã duyệt,Đơn bán,FANC01,Fa.36h,17/06/2024 10:23:27,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
29,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC04,Fl.36h,01/01/2024 22:52:33,36,1,0,,,4391,158073,158073,18968,KM23750CK,KM WM TỪ 25/12-24/01/2024,,,
30,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FACA01,Ca.36h,01/01/2024 22:52:33,36,1,0,,,4555,163963,163963,19675,KM23750CK,KM WM TỪ 25/12-24/01/2024,,,
31,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC05,Fl.40b,01/01/2024 22:52:33,40,1,0,,,3682,147273,147273,0,,,,,
32,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/01/2024 22:52:33,40,1,0,,,3682,147273,147273,0,,,,,
33,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC10,Fs.36h,01/01/2024 22:52:33,36,1,0,,,4391,158073,158073,0,,,,,
34,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC05,Fl.40b,01/01/2024 22:52:33,5,,,0,5,3682,147273,,,KM23750N151223,KM WM TỪ 25/12-24/01/2024,,,
35,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/01/2024 22:52:33,5,,,0,5,3682,147273,,,KM23750N151223,KM WM TỪ 25/12-24/01/2024,,,
36,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005103,Đã duyệt,Đơn bán,FANC10,Fs.36h,01/01/2024 22:52:33,6,,,0,6,4391,158073,,,KM23750N151223,KM WM TỪ 25/12-24/01/2024,,,
37,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FANC01,Fa.36h,15/02/2024 07:47:18,36,1,0,,,4391,158073,158073,18969,KM1360WCMFA36H,KM WCM SP FA.36H TỪ 12/02-13/03/2024,,,
38,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO03,Vp.30h,15/02/2024 07:47:18,30,1,0,,,7495,224837,224837,0,,,,,
39,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO02,Vs.30h,15/02/2024 07:47:18,30,1,0,,,7495,224837,224837,0,,,,,
40,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO01,Vo.30h,15/02/2024 07:47:18,30,1,0,,,7495,224837,224837,0,,,,,
41,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FACA14,Cs.36h,15/02/2024 07:47:18,36,1,0,,,4555,163963,163963,0,,,,,
42,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FANC09,Fc.36h,15/02/2024 07:47:18,36,1,0,,,4391,158073,158073,0,,,,,
43,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FANC04,Fl.36h,15/02/2024 07:47:18,36,1,0,,,4391,158073,158073,0,,,,,
44,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FANC04,Fl.36h,15/02/2024 07:47:18,6,,,0,6,4391,158073,0,,KM1360WWCM - N1,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FI.36H TẶNG 1 LỐC,,,
45,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FANC09,Fc.36h,15/02/2024 07:47:18,6,,,0,6,4391,158073,0,,KM1360WWCM - N2,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FC.36H TẶNG 1 LỐC,,,
46,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,FACA14,Cs.36h,15/02/2024 07:47:18,6,,,0,6,4555,163963,0,,KM1360WWCM - N3,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC CS.36H TẶNG 1 LỐC,,,
47,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO01,Vo.30h,15/02/2024 07:47:18,6,,,0,6,7495,224837,0,,KM1363WCM - N1,KM WCM TỪ 15/02-13/03/2024 - MUA 5 LỐC VO.30H TẶNG 1 LỐC,,,
48,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO02,Vs.30h,15/02/2024 07:47:18,6,,,0,6,7495,224837,0,,KM1363WCM - N2,KM WCM TỪ 15/02-13/03/2024 - MUA 5 LỐC VS.30H TẶNG 1 LỐC,,,
49,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005185,Đã duyệt,Đơn bán,VEYO03,Vp.30h,15/02/2024 07:47:18,6,,,0,6,7495,224837,0,,KM1363WCM - N3,KM WCM TỪ 15/02-13/03/2024 - MUA 5 LỐC VP.30H TẶNG 1 LỐC,,,
50,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,FACA02,Ca.40b,01/03/2024 15:39:51,40,1,0,,,3780,151200,151200,18144,KM2795CK,KM WCM TỪ 01/03-27/03/2024,,,
51,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,FACA06,Cl.40b,01/03/2024 15:39:51,40,1,0,,,3780,151200,151200,22680,KM2795CK,KM WCM TỪ 01/03-27/03/2024,,,
52,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,FANC03,Fa.10h,01/03/2024 15:39:51,10,1,0,,,19636,196363,196363,0,,,,,
53,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,FACA04,Ca.10h,01/03/2024 15:39:51,10,1,0,,,19636,196363,196363,0,,,,,
54,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,VEYO01,Vo.30h,01/03/2024 15:39:51,30,1,0,,,7495,224837,224837,0,,,,,
55,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61005680,VM BIÊN HÒA,,1096 Phạm Văn Thuận-Phường Tân Mai,Biên Hòa-Tỉnh Đồng Nai,IN005231,Đã duyệt,Đơn bán,VEYO01,Vo.30h,01/03/2024 15:39:51,6,,,0,6,7495,224837,0,,KM1363WCM - N1,KM WCM TỪ 15/02-13/03/2024 - MUA 5 LỐC VO.30H TẶNG 1 LỐC,,,
